text_input,output
"What phenomenon, often referred to as the ""China syndrome,"" describes a theoretical consequence of a severe reactor accident where core melting occurs?
A: The uncontrolled increase in reactor power due to positive void reactivity.
B: The melting of fuel and structural material that could potentially melt through the reactor vessel and underlying concrete.
C: The rapid flashing of primary coolant to steam inside the containment building.
D: The failure of control rods to fully insert into the core.",B
"What is the approximate magnitude of the prompt neutron lifetime in a fast nuclear reactor?
A: 10⁻⁴ seconds
B: 10⁻⁷ seconds
C: 0.1 seconds
D: 57 seconds",B
"An infinite thermal reactor, initially critical with a prompt neutron lifetime of 10^-4 seconds, experiences a step increase in its infinite multiplication factor (koo) to 1.001. Assuming all fission neutrons are prompt (no delayed neutrons), what is the approximate reactor period?
A: 0.001 seconds
B: 0.01 seconds
C: 0.1 seconds
D: 1.0 seconds",C
"What is one of the central problems in nuclear reactor design addressed by methods like the group-diffusion method?
A: Calculation of the temperature distribution within the fuel elements.
B: Calculation of the pressure drop across the reactor core.
C: Calculation of the size and composition required to maintain a balance between neutron production and loss.
D: Calculation of the radioactive decay heat of fission products.",C
"The equivalent diameter (De) for coolant flow in a square lattice array of fuel rods with pitch 's' and rod radius 'a' is calculated using the formula:
A: De = (s² - πa²) / (πa)
B: De = 2 * (s² - πa²) / (πa)
C: De = (s - a) / a
D: De = 4 * (s² - πa²) / (πa)",B
"What is the primary function of control rods in a nuclear reactor?
A: To increase the rate of fuel burnup
B: To regulate the degree of criticality
C: To cool the reactor core
D: To convert fertile material into fissile material",B
"How does nuclear resource utilization (U) typically behave as the conversion ratio (C) increases from below unity towards unity, and what happens to U once the reactor enters the breeding region (C > 1)?
A: U increases as C increases below unity and continues to increase rapidly in the breeding region.
B: U decreases as C increases below unity and remains constant in the breeding region.
C: U increases as C increases below unity but becomes constant in the breeding region.
D: U remains constant regardless of the conversion ratio C.",C
"What is the primary mechanism of heat transfer for liquid metal coolants like sodium under turbulent flow conditions in a nuclear reactor channel?
A: Convection
B: Radiation
C: Conduction
D: Boiling",C
"What is the reactivity value, in dollars, that corresponds to the prompt critical condition for a nuclear reactor fueled with 235U?
A: 0 dollars
B: 1 dollar
C: 0.0065 dollars
D: 100 dollars",B
"Based on the Gaussian plume model for ground-level concentration, how does releasing an effluent from an elevated stack (h > 0) compare to releasing it at ground level (h = 0), assuming all other conditions are the same?
A: The ground-level concentration is always higher for the elevated release.
B: The ground-level concentration is always lower or equal for the elevated release.
C: The maximum ground-level concentration occurs closer to the source for the elevated release.
D: The total amount of effluent reaching the ground is higher for the elevated release.",B
"What is the approximate binding energy of the deuteron?
A: 1.11 MeV
B: 2.23 MeV
C: 8.48 MeV
D: 15.56 MeV",B
"In one-group diffusion theory for a bare reactor, the critical buckling (B_c^2) is determined by the material properties through the infinite multiplication factor (k_inf) and the thermal diffusion area (L^2). What is the relationship between these parameters for a critical system?
A: B_c^2 = k_inf * L^2
B: B_c^2 = (k_inf - 1) / L^2
C: B_c^2 = L^2 / (k_inf - 1)
D: B_c^2 = k_inf / (1 + L^2)",B
"The CANDU reactor design employs a calandria and pressure tubes instead of a single large pressure vessel. What is the main reason for this design choice?
A: To facilitate the use of enriched uranium fuel.
B: To allow for a smaller core size compared to other heavy-water reactors.
C: To manage the large core volume required for natural uranium fueling without needing a massive, high-pressure vessel.
D: To enable the use of light water as the primary coolant.",C
"What term describes the time required for half of a substance to be removed from a body organ solely by biological processes?
A: Radioactive half-life
B: Effective half-life
C: Biological half-life
D: Physical half-life",C
"The activation product 17N, formed in water-cooled reactors via the 17O(n,p) reaction, is notable because its beta decay is followed by the emission of what type of particle?
A: Alpha particle
B: Neutron
C: Positron
D: Deuteron",B
"In the group-diffusion method, how is the total absorption rate per unit volume in a specific energy group typically expressed?
A: The product of the group diffusion coefficient and the group flux gradient.
B: The sum of scattering rates into and out of the group.
C: The product of the macroscopic group absorption cross-section and the group flux.
D: The group source term minus the leakage term.",C
"On the Modified Mercalli Intensity Scale, what physical characteristic is primarily measured to determine the intensity level of an earthquake?
A: Total energy released
B: Distance from the epicenter
C: Maximum ground acceleration
D: Frequency of seismic waves",C
"Without medical treatment, the acute whole-body radiation dose that is expected to result in death for 50% of an exposed population within 60 days (LD50/60) is approximately:
A: 75 rems
B: 340 rems
C: 1000 rems
D: 5000 rems",B
"In reactor kinetics, what is the relationship between the reactor period (T) and the inverse period (w)?
A: T = w
B: T = 1/w
C: T = -w
D: T = w^2",B
"Which characteristic describes turbulent flow in a coolant channel?
A: Fluid moves primarily parallel to channel walls
B: Heat transfer occurs mainly by conduction
C: Significant radial velocity fluctuations are present
D: Reynolds number is typically below 2000",C
"In RBMK reactor designs, what material is primarily used as the neutron moderator?
A: Light water
B: Heavy water
C: Graphite
D: Beryllium",C
"Based on data for thermal neutron capture gamma rays, which of the listed elements produces the highest number of photons per 100 captures in the 1-3 MeV energy range?
A: H
B: Na
C: Al
D: U",B
"Fission products that are either stable or have very long effective half-lives compared to the reactor core lifetime are typically referred to as:
A: Transient poisons
B: Saturating poisons
C: Permanent poisons
D: Burnable poisons",C
"A material has an atom density of 0.080 x 10²⁴ atoms/cm³ and a total microscopic cross-section of 2.6 barns. What is the macroscopic total cross-section for this material?
A: 0.0208 cm⁻¹
B: 0.208 cm⁻¹
C: 2.08 cm⁻¹
D: 20.8 cm⁻¹",B
"The text states that the removal cross-section for a material is defined under a specific condition regarding the surrounding medium. What is this condition?
A: The material must be followed by a vacuum.
B: The material must be surrounded by heavy water.
C: The material must be followed by a medium containing sufficient hydrogen.
D: The material must be followed by a thick layer of iron.",C
"What is mixed-oxide (MOX) fuel?
A: Fuel consisting solely of enriched uranium dioxide.
B: Fuel made by mixing plutonium dioxide with uranium dioxide.
C: Fuel used only in CANDU reactors.
D: Spent nuclear fuel that has been vitrified for disposal.",B
"According to the ICRP 1990 recommendations for occupational exposure, what is the annual dose limit for the lens of the eye?
A: 5 rems
B: 15 rems
C: 30 rems
D: 50 rems",B
"What is the dose-rate factor (Cy) for external gamma exposure from Xenon-133 (¹³³Xe) in units of rems/sec per Ci/m³? Use the average gamma energy per disintegration from standard tables.
A: 0.262
B: 0.030
C: 7.86 x 10⁻³
D: 5.53 x 10⁻⁴",C
"For a CANDU reactor operating on a once-through fuel cycle with a maximum specific burnup of 7500 MWd per metric ton of natural uranium, what is the approximate nuclear resource utilization? (Assume 1 gram of fissile material fissioned releases 1 MWd of energy)
A: 0.0075%
B: 0.75%
C: 7.5%
D: 75%",B
"Using standard data for the point isotropic exposure buildup factor in Iron, what is the approximate value of Bp for 1.0 MeV gamma rays at an optical thickness (μR) of 7?
A: 5.39
B: 10.2
C: 16.2
D: 28.3",C
"For neutrons incident on concrete slabs, how does the ratio of gamma-ray dose rate to neutron dose rate generally change as the slab thickness increases?
A: It decreases
B: It increases
C: It remains constant
D: It fluctuates unpredictably",B
"A reactor fuel rod cladding surface is at 650°F. The heat flux from the surface is 3.66 x 10⁵ Btu/hr-ft². If the heat transfer coefficient is 7,500 Btu/hr-ft²-°F, what is the bulk temperature of the coolant?
A: 543°F
B: 601°F
C: 626°F
D: 650°F",B
"In the approximate formula for the fast neutron flux at the surface of a thick hydrogenous shield surrounding a spherical core (Eq. 10.74), the parameter 'α' represents the effective macroscopic removal cross-section of the core. Based on the text, what does this 'α' depend on?
A: The core radius and shield thickness.
B: The volume fraction of metal in the core, and the removal cross-sections of water and metal.
C: The total neutron production rate in the core.
D: The microscopic removal cross-sections of the core materials only.",B
"In a Pressurized Water Reactor (PWR), the passive part of the Emergency Core Cooling System (ECCS) typically consists of accumulator tanks containing borated water. How is this passive system activated during a large break LOCA?
A: It is manually activated by control room operators.
B: Electrically driven pumps initiate flow when a low-pressure signal is received.
C: A reversal of pressure across a check valve occurs when the reactor vessel pressure drops below the accumulator pressure.
D: It is activated by high temperature sensors in the reactor core.",C
"In a nuclear reactor, what is the ratio of the number of fissions in one neutron generation to the number of fissions in the preceding generation called?
A: Conversion Ratio
B: Breeding Gain
C: Multiplication Factor
D: Neutron Yield",C
"In the Wigner-Seitz method applied to estimate the worth of a large number of cluster control rods arranged in a lattice, the concept of 'rod utilization' (fR) is used. What does this parameter physically represent?
A: The total reactivity worth provided by all control rods in the core
B: The average thermal neutron flux within a unit cell containing a control rod
C: The fraction of fission neutrons slowing down within a unit cell that are absorbed in the control rod
D: The ratio of the neutron current density entering the rod surface to the average flux in the cell",C
"What is the term for the sum of the thermal diffusion area (L²) and the neutron age (τ)?
A: Buckling
B: Thermal utilization
C: Migration area
D: Multiplication factor",C
"At the cellular level, radiation can cause biological effects through two fundamental mechanisms: direct and indirect effects. Which statement best describes the difference and relative importance of these mechanisms?
A: Direct effect involves chemical reactions within the cell, while indirect effect involves molecule breakage; direct effect is considered more important.
B: Direct effect involves molecule breakage by ionization, while indirect effect involves the production of reactive chemicals like radicals; indirect effect is considered more important.
C: Direct effect is caused by indirectly ionizing radiation, while indirect effect is caused by directly ionizing radiation; both are equally important.
D: Direct effect primarily damages the cell membrane, while indirect effect primarily damages the nucleus; direct effect is considered more important.",B
"How does the neutron flux profile inside a control rod typically differ between a thermal reactor and a fast reactor?
A: The flux drop near the rod surface is significant in both thermal and fast reactors.
B: The flux dip inside the rod is generally more pronounced in fast reactors due to higher neutron energies.
C: The flux inside the rod in a fast reactor is often more uniform and similar to the surrounding medium compared to a thermal reactor.
D: Control rods are designed to create a steep flux gradient in fast reactors but not in thermal reactors.",C
"Which of the following materials is commonly used as a neutron absorber in control rods?
A: Zirconium alloy
B: Enriched Uranium
C: Heavy Water
D: Boron Carbide",D
"What is the primary challenge in separating the isotopes 235U and 238U for uranium enrichment?
A: They are different elements with significantly different chemical properties.
B: They are isotopes of the same element with nearly identical atomic weights.
C: One is highly radioactive while the other is stable.
D: They exist in significantly different natural abundances.",B
"The maximum volumetric heat production rate (q'''_max) in a reactor core operating at a total power (P) is related to the maximum-to-average flux ratio (Q), the core volume (V), the recoverable energy per fission (ER), and the average macroscopic fission cross-section (Σf). Which of the following relationships is most consistent with the principles governing heat generation?
A: q'''_max is proportional to P * Q / (Σf * ER * V)
B: q'''_max is proportional to (Σf * ER * V) / (P * Q)
C: q'''_max is proportional to P * Σf * ER * V * Q
D: q'''_max is proportional to P * Σf * ER / (V * Q)",A
"In a nuclear fuel rod with a cosine axial heat generation profile (peaking at the core vertical midpoint, z=0) and coolant flowing upward, the location along the rod where the maximum fuel temperature occurs is typically:
A: At the core inlet (bottom of the channel)
B: Exactly at the core vertical midpoint (z=0)
C: At the core outlet (top of the channel)
D: Downstream from the core vertical midpoint, but before the outlet",D
"A high value of the Reynolds number for a coolant flow in a nuclear reactor channel generally indicates:
A: Laminar flow conditions with low heat transfer coefficient.
B: Turbulent flow conditions with low heat transfer coefficient.
C: Laminar flow conditions with high heat transfer coefficient.
D: Turbulent flow conditions with high heat transfer coefficient.",D
"In one-group diffusion theory, the effective multiplication factor (k_eff) for a bare reactor is related to the infinite multiplication factor (k_inf) and the nonleakage probability (PL). For a critical reactor, which equation correctly expresses this relationship?
A: k_eff = k_inf + PL
B: k_eff = k_inf / PL
C: k_eff = k_inf * PL
D: k_eff = k_inf - PL",C
"Excessively neutron-rich fission products primarily decay by emitting which type of radiation?
A: Alpha particles
B: Negative beta particles
C: Positrons
D: Neutrons",B
"Which nuclear model is analogous to the electron shells in an atom and is used to explain the stability associated with magic numbers?
A: Liquid Drop Model
B: Collective Model
C: Shell Model
D: Compound Nucleus Model",C
"Where along the length of an axial control rod is the fractional rate of change in reactivity per unit distance of movement typically the greatest?
A: Near the very beginning of insertion.
B: Near the center of the core.
C: Just as the rod is fully inserted.
D: The rate of change is constant along the rod length.",B
"The energy (E) released by an earthquake is related to its Richter magnitude (M) by the empirical formula log₁₀ E = 11.4 + 1.5M. Approximately how much more energy is released by an earthquake with a Richter magnitude of 7 compared to one with a Richter magnitude of 5?
A: About 32 times more energy
B: About 64 times more energy
C: About 1000 times more energy
D: About 32,000 times more energy",C
"Using the linear hypothesis and a population with a US age distribution, calculate the expected number of eventual leukemia cases in the 11-20 age group for a total population dose of 10^6 man-rems.
A: 0.70
B: 1.65
C: 4.90
D: 7.30",D
"In the one-group diffusion theory solution for the neutron flux distribution in a bare critical reactor, the magnitude of the flux (represented by an arbitrary constant multiplier) is physically determined by which factor?
A: The reactor material properties
B: The reactor power level
C: The moderator-to-fuel ratio
D: The neutron diffusion coefficient",B
"Compared to conventional Boiling Water Reactors (BWRs), the Advanced Boiling Water Reactor (ABWR) design simplifies the primary system and reduces the risk of a Loss of Coolant Accident (LOCA) primarily by:
A: Using a smaller reactor vessel
B: Eliminating external recirculation piping and pumps
C: Operating at significantly lower pressures
D: Utilizing a different fuel enrichment",B
"A 1 MeV neutron undergoes an elastic scattering collision with a deuterium nucleus (atomic mass number A = 2). If the neutron is scattered at an angle of 45 degrees in the laboratory frame, what is the kinetic energy of the scattered neutron?
A: 1.000 MeV
B: 0.738 MeV
C: 0.500 MeV
D: 0.262 MeV",B
